ID,urgency,category,complaint
11,Not Urgent,Pekerjaan dan Ketenagakerjaan,Sy istri PPSU kantor lurah grogol 
12,Not Urgent,Pekerjaan dan Ketenagakerjaan,Sy mhon bantuannya pak untuk cek ulang kelurahan grogol..trima ksih
13,Urgent,Pekerjaan dan Ketenagakerjaan,Sy mau k`adilan untuk suami sy...knp suami sy yg krjanya sdh mengikuti sesuai prosedur PPSU tdk di prpnjng kntrak krjanya..
14,Not Urgent,Pekerjaan dan Ketenagakerjaan,Ada apa di kantor lurah grogol di balik smua ini...???
15,Urgent,Pekerjaan dan Ketenagakerjaan,Sdangkan org yg mlas.. umur sdh di ats 50 th..pmakai narkoba & tdk prnah trun k`lapangan untk krja sbg PPSU mlah pd  di kontrak krjanya
16,Urgent,Pekerjaan dan Ketenagakerjaan,Dlm hal pekerjaan...tp koq hsilnya mlah sprti ini...& bnyak data yg tdk sesuai sprti kryawan tercantum sbg PPSU tp knyataannya hnya s`org OB 
17,Not Urgent,Pekerjaan dan Ketenagakerjaan,Sm2 pak..sy hrap dpt k`ptusan yg adil..sebab yg tdk di perpnjang kntrak krjanya sbg PPSU itu team yg trbilang rajin & team yg slalu trpakai dgn lurahnya 
18,Not Urgent,Pelayanan Publik,"Selaamat malam Pak Ahok, saya mau lapor tentang pembuatan KTP di Kelurahan Kedoya Selatan, ternyata sampai saat ini masih blm tersedia formulir KTP. Aehingga pembuatan KTP terhambat. Mohon dibantu untuk kelancarannya. Terimakasih"
19,Urgent,Infrastruktur,"Selamat malam pak ahok,ini mau sampaikan sy sngat kecewa,dari awal jd wakil gubernur smapai jd gubernur,minta tolong jembatan besi pintu kereta api situ bikin jmbt 1lg,tdk di bikin2 bertapa menderitany rakyat tiap pagi sore nglami macet berjam2 apa lg ketemu wktny jam2 kereta,bnyk jurusan mau lewat jmbt itu,& itu depan sc itu jln semua..buat pakir motor ampe penuh itu jln. mobil jg gerobak penuh motor penuh ampun,pagi2 itu mobil sampah mauny pas tikungan susah kl mau lewat,daera krendang got2ny bersih tp di jbt besi hanya pigil jln saja,gang2nya penuh sampah,demikian lah info kami selamat mlm cia ju GBU"
20,Urgent,Infrastruktur,"Dear pa Gubernur, tembok pemda DKI yg dibangun asal jadi roboh tadi malam, kami tidak tahu harus mengadu kemana lagi
RW 07 Kelapa Dua, Kebon Jeruk, Jakarta Barat"
21,Urgent,Pekerjaan dan Ketenagakerjaan,"Selamat siang pak.
saya andrius anggota ppsu mangga besar.
tolong pak tindak anggota ppsu di kelurahan kami mangga besar yang kerjaannya tidur dijam kerja,main hp dijam kerja pulang kerumah dijam kerja datang seenaknya mau jam berapapun karena saya mengadu pun tak pernah didengar pak oleh pejabatnya.trims"
22,Not Urgent,Pekerjaan dan Ketenagakerjaan,"Pak Ahok, 4 januari jam 9 pagi. Hari ini di kelurahan tjg duren selatan, petugas di meja ada 3 orang ( 2 wanita 1 pria) tapi yg bekerja hanya 1 pria. 2 wanita sebagai penonton. Tolong ditangani. Terimakasih"
23,Not Urgent,Pelayanan publik,"1 lagi Pak, krn ektp saya belum jadi,saya minta surat keterangan, tetapi saya diminta balik lagi : karena Lurah belum ttd(fadtheland Mustofa) sedang meeeting dan saya dminta kembali lg. Bener2 pelayanan yg tdk baik yang dapat. Tolong bantu pak. Kredibilitas jadi turun nanti karena hal ini"
24,Urgent,Keamanan dan Ketertiban,SELAMAT PAGI .KAMI WARGA PERUM KOSAMBI BARU .KECAMATAN CENGKARENG .KELURAHAN KOSAMBI .DGN INI MAU MELAPORKAN BAHWA DI JL KOSAMBI TIMUR RAYA ADA PEMOTONGAN AYAM YG SANGAT KUMUH .BAU.KOTOR DAN BERISIK .KAMI SUDAH PERNAH MELAPORKAN MASALAH INI KE INSTANSI YG BERWENANG DI DAERAH INI TAPI TIDAK MEMPAN KARENA BOSS INI BEKINGANNYA KUAT DAN TUKANG PUKULNYA BANYAK .MOHON BANTUAN BAPAK UNTUK MENINDAKINYA .TERIMA KASIH ATAS PERHATIANNYA DAN MOHON MAKLUM ADANYA .
25,Not Urgent,Pelayanan Publik,"slmt pagi bp Ahok,
sy Awie mau menyampaikan keberatan akan peraturan UUPD Jakbar, yg mengharuskan KTP di pindah alamat`a dlm pengajuan AJB n BPHTB nihil rusun SeasonCity, tolong dibantu agar saya tdk dipersulit, n saya mau tanya apakah dibenarkan peraturan daerah tsb, terima kasih.."
26,Urgent,Pelayanan Publik,Mlm pa gubernur sony. Mhn diaudit dana penguatan atau DAS DI  kel Roa Malaka di indikasikan telah terjadi penyimpangan yg dilakukan  lurah roa malaka TRIMS
27,Not Urgent,Pelayanan Publik,Selamat siang pak..sya dari warga komp Green court d wiayah cengkareng timur sangat mengeluh untuk pelayanan RT nya yaitu RT 05/014.karna sering membuat ktp warga tidak ad yg jdi..dn d mntain duit yg cukup besar..
28,Urgent,Pelayanan Publik,"Siang Pak.sy bu Lanny.mau lapor.kalo sy mau urus buat kk dan ktp bru daerah kresek raya.dipersulit rt mt kalo dia urus 2 bln an.biaya 750ribu.jk cpt 1,5 jt.sy pindahan dr Bsd.srt2 sdh komplit.urus sendiri mt srt pengantar 100ribu.info ny seperti itu.trm ksh ."
29,Urgent,Lingkungan,Pak AHOK KAMI WARGA KELURAHAN KOTA BAMBU UTARA RT 002/04 MOHON TOLONG DITINDAK LANJUTI MASALAH BANJIR DITEMPAT KAMI SALURAN AIRNYA SUDAH BERTAHUN2 TIDAK DIKEDUK SUDAH HAMPIR RATA SAMA JALANAN KAMI MOHON PAK SEKALI LAGI BIAR APARAT TERKAIT MEMPERHATIKANNYA TERIMAKASIH SEBELUMNYA.
30,Urgent,Keamanan dan Ketertiban,"Mohon perhatiannya, di Lippomal Puri, kecamatan Kembangan, Jakarta Barat, ada tertera papan merah bertuliskan bangunan DISEGEL. Namun mal tetap beroperasi normal. Mohon perhatian dan check ulang dari pihak serta dinas terkait. Tegakkan peraturan. Jangan tebang pilih atau pilih kasih. Terima kasih"
31,Urgent,Infrastruktur,"Mohon perhatiannya dari dinas terkait. 2 hari ini ada pekerjaan penanaman kabel optik atau kabel PLN (tidak ada papan pekerjaan di lokasi) di jalan Peta Barat, kelurahan Pegadungan, kecamatan Kalideres, Jakarta Barat. Trotoar dibongkar lalu tidak dirapihkan kembali namun hanya dikerjakan seadanya oleh kontraktor.
Mohon dapat ditindaklanjuti oleh pihak kelurahan setempat. Terima kasih"
32,Urgent,Infrastruktur,"Mohon perhatiannya dari pihak terkait. Jalan Kamboja menuju arah jalan Tomang Raya di kelurahan Tomang, Jakarta Barat, kondisinya menyempit setelah dilakukan betonisasi karena trotoar dan median bahu jalan tidak dirapihkan. Mobil parkir sembarangan di pinggir jalan dan pejalan kaki tidak mendapat trotoar yang aman. Jalanan menjadi macet dan sempit.
Mohon perhatian dinas dan kelurahan terkait. 
Terima kasih."
33,Urgent,Lingkungan,"Malam pak ahok...sy mau laporkan didaerah kami kembangan selatan puri indah, sebelah gerbang aprtment puri mansion, ada tempat pgolahan tinja yg sudah 20th berada dsana. Hal ini bs mcemarkan lingkungan,air & kesehatan wrga. Karna tempat padat pemukiman. Tlg dbantu utk diatasi ya pak..terima kasih atas perhatian bpk. Salam 2jari.."
34,Urgent,Lingkungan,"Pak Plt, kali di tanjung duren sampahnya dah banyak lagi. Pasukan orange tolong dikerahkan dong."
35,Urgent,Lingkungan,Yth.Bpk/ibu ada pkl diatas saluran air di samping masjid al mukhlisin jelambar borobudur.tolong di teribkan dong
36,Urgent,Pekerjaan dan Ketenagakerjaan,Mulyanto pa warga roa malaka. Kenapa sekretaris kelurahan tidak dirotasi pa. Padahal tidak lulus lelang jabatan nilai nya cuma 25 
37,Not Urgent,Pelayanan Publik,"slmt pagi bp Ahok,
sy Awie mau menyampaikan keberatan akan peraturan UUPD Jakbar, yg mengharuskan bikin KTP baru yg alamat`a = alamat rusun dlm pengajuan AJB n BPHTB nihil rusun SeasonCity, padahal berdomisili di kecamatan yg sama yaitu Tambora, tolong dibantu agar saya tdk dipersulit, n saya mau tanya apakah benar n tdk meng-ada2 UUPD tsb, tolong diberi jawaban segera, urgent, terima kasih.."
38,Not Urgent,Pelayanan Publik,"UUPD Tambora, Jakarta Barat."
39,Urgent,Lingkungan,"Sehubungan dgn masalah sampah rumah tangga di lingkungan rmh tinggal warga yg tdk diangkut, terletak di Rt 04, 05, 06 & 07, Rw 02, Kel. Pinangsia, Kec. Tamansari. Hal ini sdh sering terjadi sejak Bp cuti."
40,Not Urgent,Pelayanan Publik,PAK AHOK SY ROBIN. DI MUTIARA TAMAN PALEM SAMPAI H NI TDK DPT UNDANGAN PEMILU BANYAK YG SM JG. KEL.CENGKARENG TIMUR SY TAKUT KEHILANGAN BANYAK SUARA BAPAK.TRIMS
41,Not Urgent,Pelayanan Publik,Kami atas nama warga cengkareng rt05/14...sangat kecewa dngan pelayanan dn sikap rt 05/14..yg cara krja nya tdak brtanggung jwab
42,Not Urgent,Sosial dan Kesejahteraan,Mlm pa. Di kel roa malaka terdapat Ketua rt yg  tidak bertempat tinggal diwilayah dan pemilihan rt tanpa pemilihan akan tetapi. di tunjuk oleh Sekretaris Kelurahan MHN DIkoreksi krn menyalahi aturan dan berkaitan dengan APBD 2017 TERIMA KASIH 
43,Not Urgent,Pelayanan Publik,"Pagi pak, bisa minta bantuan utk proses e-ktp saya di kelurahan : kemanggisan kecamatan : Palmerah ? Saya sdh pindah ke kemanggisan hampir 5 tahun yg lalu dari daerah setiabudi... Saat ini saya belum mendapatkan e-ktp, sudah bolak-balik ke kelurahan? - Adi"
44,Urgent,Lingkungan,"Siang Pak Ahok, salam damai sejahtera, saya mau info: sehubungan dgn masalah sampah rumah tangga di lingkungan rmh tinggal warga yg tdk diangkut sudah 4 hari, tepatnya di Gang Pondok Tuak Satu Rt 05, 06 & 07, Rw 02, Kelurahan Pinangsia, Kec. Tamansari. Hal ini sdh sering terjadi sejak Bapak cuti."
45,Urgent,Pemukiman dan Perumahan,"Selamat Malam. Saya warga komplek dki joglo blok E rt 11 rw 4 jakarta barat 11640. Mau melaporkan atas tindakan ketidaknyamanan di blok e bawah dlm bentuk panggung dangdut / suara sound speaker dg kapasitas suara sangat besar. Sehingga mengganggu saya dan keluarga. Lokasi blok e bawah. Kejadian setiap malam minggu dan terkadang hari lain. Mohon tindakannya,trm ksh."
46,Not Urgent,Pelayanan Publik,Slamat siang. pak tim suksesnya pak ahok dan pak jarot. Sekedar infor mash aja.saya sebagai kepala kluarga. Nama. Wanto.dan sampai saat ini sy blm di data untuk pencoblosan.alamat saya di jakan solaiman slipi jakarta barat.Rt/02/Rw/04.NO.32.dan semua ada 6.orang blm didata. Terimakash.  
47,Not Urgent,Sosial dan Kesejahteraan,Malam. ..mau info..untuk area semanan raya...sebrang terminal kalideres..dkt lurah semanan raya....knp spanduk no 2 gak ada yah? No 1 dan 3 ada.
48,Not Urgent,Sosial dan Kesejahteraan,Malam. ..mau info..untuk area semanan raya...sebrang terminal kalideres..dkt lurah semanan raya....knp spanduk no 2 gak ada yah? No 1 dan 3 ada.
49,Urgent,Keamanan dan Ketertiban,SLMT SIANG PA GUBERNUR LAPOR PA TOLONG TERTIBIN KAKI 5 SEPANJANG JLN STASIUN ANGKE BIKIN KUMUH
50,Urgent,Keamanan dan Ketertiban,Siang pa.  lapor. Hanya utk berdagang  dikolong layang pasar pagi asemka dimintain uang sama wakil lurah.   mhn di tindak. Pungli dikolong layang pasar pagi asemka KEL ROA MALAKA kec tambora jakbar 
51,Urgent,Lingkungan,Lapor..ada sampah di tanah kosong..sebelah pos hansip ..blok B 8 jln kembang mulia 1 puri indah. Ada masyarakat yg buang sampah tdk pada tempatnya. Terima ksh.
52,Urgent,Pelayanan Publik,Pelayanan kelurahan kapuk cengkareng sNgat buruk .
53,Urgent,Keamanan dan Ketertiban,Shallom pa sony gubernur dki jakarta. Sungguh hebat camat tambora dan sekel roa malaka. Yg mengizin kan Pedagang kaki lima berdagang di bawah layang pasar pagi di sepanjang jl petak baru tiap hari sabtu dan minggu dgn menyetorkan upeti. Mhn ditinjau dan diusut ke para pedagang  berapa setoran ya
54,Not Urgent,Pelayanan Publik,Pak mohon bantuan. Sy susah banget utk mengurus kependudukan d kelurahan kembangan u
55,Not Urgent,Pelayanan Publik,SORE PAK. SAYA WARGA ROA MALAKA. MENGADUKAN SEKEL ROA MALAKA YG MENOLAK ANAK SAYA  MENJADI PHL DI KELURAHAN ROA MALAKA.  SEDANGKAN KASIE PPSU DAN ADIK DAN SAUDARA2NYA DITERIMA MENJADI PPSU. MENGAPA DEMIKIAN PA. AGAR DI PECAT SEKEL ROA MALAKA YG MENOLAK ANAK SAYA MENJADI PPSU PAK
56,Urgent,Keamanan dan Ketertiban,"Pak Basuki Yth, selamat malam, mohon maaf mengganggu, saya warga Jelambar Baru hari ini tanggal 13 jan 2017 saya mau menginformasi bahwa pasar malam yg berada di jelambar baru sudah mengganggu jalanan umum dan bagi rt rw pun tidak ada informasi atau sosialisasi kepada warga yg memang berdomisili di tempat atau lokasi tersebut sehingga menurut saya ini ada pungli yg diterima oleh rw atau pun selevelnya karena mereka berami aja sembarangan menggelar pasar malam seenaknya shingga menggangu jalan umun dan lalu lalalng kendaraan apabilan melewati jalur teraebut sebelumnya saya mohon maaf saya akan share lokasi ke whatsapp bapak untuk lokasi pasar malam biar bs bapak lakukan survei untuk menindak lanjuti permasalahan ini, Terima Kasih"
57,Urgent,Keamanan dan Ketertiban,Pak tolong ditindaklanjuti menara telkomsel di palem fantasi w  no. 35. Radiasi di menara sana ada 2bh sebelah dan seberang ruko. Izin sblm diperpanjang sdh diingatin jgn dilanjut tapi tetap dilanjut sd sekarang kira2 sdh 2 thn. Trims
58,Urgent,Pekerjaan dan Ketenagakerjaan,"Kpd Yth, Bapak.Kasatpol PP DKI Jakarta, Kpd Yth,Bapak. Gubernur DKI Jakarta.    Salam Hormat. Mohon Pak Kasatpol PP DKI Memecat / Meroling Semua SATPOL PP Dari.Kelurahan Pinangsia & Kecamatan Tamansari. Jakarta Barat. Krn PEDAGANG KAKI LIMA Depan BNI KOTA Di.Biarkan BERDAGANG Sampai Pagi ( 24 Jam ). Dan juga PERINTAH Dari. Kasatpol PP DKI Jakarta Kepada Kasatpol PP Jakarta Barat Di.Gubris / Di.Cuekiin SATPOL PP Dari. Kelurahan Pinangsia & Kecamatan Tamansari. Jakarta barat. Gbu"
59,Not Urgent,Sosial dan Kesejahteraan,Rencana ketua rt 011/06 jln lontar 1 tanjung duren utara mau pasang cctv seharga 15 jt.vocer bln 1.5 jt warga keberatan(ke tua rt wondo.bp gubernur yg terhormat trims 
60,Not Urgent,Pekerjaan dan Ketenagakerjaan,Selamat pagi pak Gubernur yang terhormat...seorang Opis gel kelurahan tolong di silidiki yang bernama muslimah...sebagai opis gel kenapa mendapatkan fasilitas kursi atau bangku seprti layak ya PNS sja...kelurahan duri kepa 
61,Urgent,Lingkungan,"Selamat Pagi Pak Ahok.. 

Saya Rizki warga Jl. Assirot, saya Mau melaporkan, bahwa di jalan Assirot, Kel. Sukabumi Selatan, Kec, Kebon Jeruk, Jakarta Barat. Telah ada bencana Banjir, Luapan dari Kali Yg ada di jalan Assirot. Setinggi 1/5 Meter /  Selutut Org Dewasa. Mohon Tindak lanjutnya Pak..

Terima Kasih"
62,Not Urgent,Pelayanan Publik,pagi..saya mau bertanya..sampai saat ini kenapa saya warga taman villa meruya jakarta barat dan permata buana belum dibagikan kartu utk pilkada ya?
63,Urgent,Keamanan dan Ketertiban,"Ada bangunan warung liar di jalan masuk jelambar barat3 dari tubagus angke, motor sering parkir disana sehingga menutup sebagian akses jalam masuk/keluar"
64,Not Urgent,Pelayanan Publik,Sy wrg kapuk.kel kpk smpe skrg blm dpt formulir. Utk nyoblos pilgub trs gmn ya
65,Not Urgent,Sosial dan Kesejahteraan,"Dibuat stres sm pak RT 007/RW 06 Taman Jeruk, perumahan Bojong Indah Rawa Buaya Jakarta Barat nih.  Minta surat keterangan miskin aja susah.  Datang pagi ktnya lg ke Bandung.... Datang malam ktnya bsk pagi saja.... Datang pagi katanya siang saja.... 

Memang orang tidak ada kerjaan?!  Kalau tidak mau melayani warga jangan jadi RT lah.... 

Tolong tegur Pak Ahok.  Stres nih padahal batal waktu masukin data ke sekolah buat urus KJP itu besok terakhir. Tolong donk Pak Ahok... Sy Liliyana warga Rawa Buaya.  Perumahn bojong Indahu,  Taman jeruk 2 no 35. nih Paka. "
66,Not Urgent,Pekerjaan dan Ketenagakerjaan,Selmt pgi pak ahok yg terhormat sy  dr ppsu kembangan selatan yg ingin sy adukan sya kerja di kembangan sudh ckup lma dr dlu zamn lnmas smpai kelining serpis smpai sekrng yg terbaru ppsu egk tau knp thun ini sy di nyatakan lulus bersyart padahl menurut sy kerja sy sdh sesuai aturan dteng pgi kerjaan sy selesaikan dengn mksiml cm krna sy pernh selisih pham dengn kepala ppsu kmbangn mohon sulusinya pak ahok sya sngt berharp bnyak sm bpk terima kasih
67,Not Urgent,Pelayanan Publik,"Selamat pagi pak Ahok, sy buat rekomendasi utk pembuatan sertifikat susah sekali, di Kelurahan Jembatan Besi.."
68,Urgent,Pelayanan Publik,"Selamat sore Pak ahok & tim atau staff.
Saya mau minta tolong untuk tolong cek ke daerah cengkareng pulo bbrp RT. Kalo saya di RT.012 RW.010. Sampai saat ini banyak warga yang belum dapat kartu pemilih. Saya cuma takut ini maksud pembekuan. Karna di sekitar wilayah saya banyak spanduk paslon 1 dan 3. Takutnya ada kecurangan. Mohon bantuannya yah pak. TQ
Dr ; RISCA IKANG CHAYADI
JL. Pulo Harapan Indah no.103 RT.012 RW.010
Cengkareng barat - Jakarta Barat."
69,Not Urgent,Pelayanan Publik,"Siang pak/bu, 
Saya warga jakarta barat, kel Tanjung Duren selatan, saya ingin tanyakan mengapa ktp saya belum terdaftar utk pilkada DKI Jakarta?apa yg harus saya lakukan utuk bisa ikut Pilkada??"
70,Not Urgent,Pelayanan Publik,"Updates kronologi masalah pembuatan e-ktp att Madtadi di kelurahan kemanggisan :

1.  Tgl 27 jan 2017 : Di hubungi oleh kelurahan kemanggisan, beliau minta foto ktp  dan minta waktu smp 30 jan 2017 utk pengecekan.

2. Tgl 30 di hungungi oleh pihak pegawai kelurahan utk buat pengantar RT RW (seperti buat baru e-ktp ? Padahal sdh buat di thn 2012 dan 2016 (salahnya aku tidak minta resi).

3. Tgl 31 jan 2017: kekelurahan utk menyerahkan surat pengantar dan di suruh balik besok utk resinya? Alasan balik kekelurahan karena applikasinya sedang di updates?

4. Menunggu kapan bisa ambil resi?

Mohon perhatiannya.
"
71,Urgent,Lingkungan,"Jln MHT, yg menghubungkan jl. H simun Rt 005/01, ke jln bambu, kelurahan Srengseng, kecamatan kembangan, Jakbar, jorok dan kumuh, air setiap hai tergenang, petugas ppsu, tdk pernah ke lokasi tsb, mhn ditindak lanjuti,  tksh pak Gubernur, (warga)"
72,Urgent,Pelayanan Publik,"Minta surat keterangan tidak mampu susah sekali.... Pak RT sibuk..... Kita datang malam suruh besok pagi. Datang pagi suruh siang.  Aduh stres mana batas waktu buat KJP besok. 
Tolong pak Ahok tegur pak RT. Saya warga Taman jeruk, Rawa Buaya RT 007/RW 06 Pak.  Saya Liliyana, ibu 2 anak.  Suami sy hanya guru les.
"
73,Urgent,Keamanan dan Ketertiban,Slamat Mlm pa gubernur DKI. Sesuai ucapan dan intruksi anda yg akan menberhentikan pejabat  jual beli jabatan dan sogok menyogok.  Mhn disidak dan dikoreksi sekretaris  kel Roa Malaka. Yg Terdapat KKN terhadap pengangkatan PHL . Ada beberapa orang anggota  PPSU kel Roa Malaka  DAN  kepala seksi PPSU menpunyai hubungan darah/ kerabat dan saudara  mhn ditindak. Terima kasih
74,Not Urgent,Pelayanan Publik,"Selamat sore bpk Basuki yth saya warga warga Tegal Alur
Anak saya tgl 5 Feb 2017 ini umur 17 th saya bermaksud agar secepatnya dapat KTP supaya bisa ikut PILKADA ikut dukung no 2
Yg ingin saya tanyakan anak saya pulang sekolah jam 14 30 wib kantor kelurahan masih buka tapi gak bisa layanin utk foto KTP alasan no antrin habis  jd harus besok pagi ambil antrian dlu supaya tdk habis
Jd kenapa kantor lurah masih buka tapi gak bisa layanin warga buat apa ?"
75,Not Urgent,Pelayanan Publik,"Selamat sore Pak Ahok, saya ingin mendukung Pak Ahok dlm pilgub 15 Feb ini. Tp saya mendapat sedikit kendala, beberapa bulan lalu saya sudah mengurus pindah alamat dari Penjaringan,Jakut ke Pegadungan, Jakbar tapi ketika saya cek DPT sy di website KPU, dan sy mengecek via NIK, data yg terlihat menunjukan saya masih di alamat Penjaringan. Mohon bantuannya Pak, dimana TPS yg harus saya datangi? Terima kasih"
76,Urgent,Keamanan dan Ketertiban,"Slmat pagi bpk AHOK.d
Semoga bpk AHOK menang y di pilkada tar..good luck.
Bpk ahok mhn setelah bpk ahok aktip kembali mhn di tertibkan palkiran liar di sepanjang jp tanjung duren utara dr mulai kfc tanjung duren smpe per empatan yg mengarah ke kemanggisan.bnyak palkir cr makan.beri jg peringatan pd pengusaha kecil di kawasan itu agar bs sediakan tmpt palkirnya..krn bikin macet.smpe macetnya ga ada wkt senen-minggu..bhkan pagi z sdh macey hr wekend."
77,Not Urgent,Lingkungan,"Sore Pak, Bill board dekat  Slipi Mall, seng sdh bertebaran  sangat bahaya , mohon segera diperbaiki, thanks, Yanto"
78,Not Urgent,Pelayanan Publik,"selamat malam.. 
tim yang menangani aduan masyarakat...

saya Christina fransischa warga dari rt004/006 kelurahan kapuk Cengkareng ...
kebetulan saya bekerja di TRANS 7 

ingin mengadukan bahwa staf dari kelurahan kapuk kurang kooperatif dalam memberikan pelayanan...
perihal pengurusan KTP saya hilang serta KTP ayah saya yang di janjikan awal februari ini akan jadi nyata sampai mau pilkada belum jadi....
dimana selalu di bilang belum jadi..
itu sudah november 2016 diserahkan ke kelurahan untuk d proses...

ini prosedur lama pembuatannya berapa lama yaa umumnya untuk E-KTP  yg hilang...

trima kasih"
79,Not Urgent,Pelayanan Publik,"selamat malam.. 
tim yang menangani aduan masyarakat...

saya Christina fransischa warga dari rt004/006 kelurahan kapuk Cengkareng ...
kebetulan saya bekerja di TRANS 7 

ingin mengadukan bahwa staf dari kelurahan kapuk kurang kooperatif dalam memberikan pelayanan...
perihal pengurusan KTP saya hilang serta KTP ayah saya yang di janjikan awal februari ini akan jadi nyata sampai mau pilkada belum jadi....
dimana selalu di bilang belum jadi..
itu sudah november 2016 diserahkan ke kelurahan untuk d proses...

ini prosedur lama pembuatannya berapa lama yaa umumnya untuk E-KTP  yg hilang...

trima kasih"
80,Not Urgent,Pelayanan Publik,"Selamat siang. 

Mohon dapat di tinjau untuk PENCETAKAN E-KTP
Kelurahan : Cengkareng Barat
Kecamatan :  Cengkareng
proses KTP sejak 19 September 2016 hingga sekarang data belum juga di cetak.

Mohon bantuannya, Terima kasih. 
FITRIA "
81,Not Urgent,Pelayanan Publik,"Pagi pak Gubernur, saya warga taman sari 4 no 61 ,kelurahan Maphar  sampai hari ini belum dapat surat formulir c 6 hanya ada A1 untukt pilih Gubernur , sudah tanya RT saya pak Joko tidak ada padahal tetangga sudah dapat formulir C 6, RT saya 002 RW 03"
82,Not Urgent,Lingkungan,"Sore Pak. Saya mau laporkan, di daerah jelambar , jln hadiah, jln karya jakarta barat. Banyak ditemukan stiker2  urutan no 1 di tiang listrik. Mohon di periksa dan di bersihkan. Ini stiker baru, krn kmn sore tdk ada. Trm ksh. Sukses selalu no 2."
83,Not Urgent,Pelayanan Publik,Pagi pak saya dari wrg cosmos kedoya utara kebon jeruk depan rptra rt OO2/O1 kenapa yg tidak dapat surat c6 harus fc sedangkan toko fc pada tutup sampai skrg masih cari fc yg buka ...kenapa dipersulit yaa? Apakah bener hrs fc kenapa sebelumnya tidak diberitahukan terlebih dahulu jadi kan bisa fc dulu tq
84,Urgent,Pelayanan Publik,Slmat malam. Pak saya mau kasih info. Saya sudah resmi pindah ke depok. Bahkan kartu kluarga saya uda ada di alamat depok. Tapi saya cek dari situs   https://ahokdjarot.id/cek-data-pemilih/ saya masih memilih di cengkareng ktp lama saya. Saya takut suara saya di sana di salah gunakan. Klw milih bapak sih mending klw milih yg lain gimna?? Salah 1 kecurangan nih pak
85,Urgent,Pelayanan Publik,"Selamat sore pak ahok saya ingin melaporkan tentang pemilu dan tps2 dijakarta, banyak TPS Yg curang dan menyembunyikan surat suara buat org2 yg ingin memilih seperti TPS KRAMAT JATI DAN CENGKARENG banyak org Mengantri dr Pagi tp tidak kunjung dipanggil dan disuruh pulang dengan alasan Surat suara abis Tolong ditindak lanjuti hal tersebut karna semua org berhak memilih"
